id,name,type,location,startDate,endDate,website,hostingTeams
"59079","2015 Wyoming Roller Derby Cup","Seeded Bracket","Rock Springs, Wyoming","2015-06-20","2015-06-21","","34114"
"71405","2015-16 French Championship: Elite","Invitational","France","2015-11-07","2016-03-13","",""
"71484","2015-16 French Championship: Nationale 1","Invitational","France","2015-11-07","2016-03-20","",""
"71878","2015-16 French Championship: Nationale 2","Invitational","France","2015-11-21","2016-06-05","",""
"75304","2015-16 Seriespel Elitserien","Invitational","Sweden","2015-09-26","2016-04-10","",""
"62329","2015: A Skate Odyssey","Seeded Bracket","Gentbrugge, Belgium","2015-05-15","2015-05-17","http://www.skod.be/","8083"
"76136","2016 5x5 Roller Derby Championship","Invitational","NSW, Australia","2016-03-19","2016-03-19","",""
"71449","2016 A Skate Odyssey","Seeded Bracket","Gent, Belgium","2016-05-06","2016-05-08","http://www.askateodyssey.com/","8083"
"88133","2016 ARRGmageddon","Invitational","Edinburgh, UK","2016-11-26","2016-11-26","https://www.facebook.com/events/535844416618826/","5912"
"79856","2016 Attack of the C Squads - Fantastic Four","Seeded Bracket","Sonora, CA","2016-05-13","2016-05-15","https://www.facebook.com/events/678081022327262/","24435"
"88141","2016 Australian Men's Roller Derby National Championships","Invitational","Adelaide, SA, Australia","2016-11-26","2016-11-27","https://www.facebook.com/events/1240753402611731/","56106,25374,56105"
"68607","2016 B-Cup Challenge","Seeded Bracket","Bloomington, IN","2016-04-23","2016-04-24","","3455"
"76711","2016 Battle of Bunker Hill","Invitational","Wilmington, MA","2016-05-21","2016-05-22","https://www.facebook.com/events/1626148290969645/","10400"
"89777","2016 Beast of the East","Invitational","Montreal, Quebec, Canada","2016-04-22","2016-04-24","","3461"
"74308","2016 Beaver Fever","Invitational","Kitchener-Waterloo, ON","2016-05-13","2016-05-15","www.tricityrd.com","3650"
"85836","2016 Bendigo Rebellion","Seeded Bracket","Bendigo, Victoria, Australia","2016-10-29","2016-10-31","http://www.bendigorebellion.com/","23410"
"66626","2016 Besterns","Invitational","Denver, CO","2016-05-20","2016-05-22","http://rockymountainrollergirls.com/besterns/","3405"
"81048","2016 Boardwalk Empire","Invitational","Santa Cruz, CA","2016-05-21","2016-05-22","","3638"
"82351","2016 Brawlcelona","Invitational","Barcelona, Spain","2016-06-11","2016-06-12","https://www.facebook.com/events/973401416064540/","11040"
"79399","2016 Bruisefest","Invitational","","2016-05-14","2016-05-14","",""
"82433","2016 Classic City Crush","Invitational","Athens, GA","2016-06-18","2016-06-19","http://classiccityrollergirls.com/wp/news-events/classic-city-crush","7813"
"68600","2016 Clover Cup","Seeded Bracket","Dallas, TX","2016-03-18","2016-03-20","http://www.clovercup.com/","3400"
"79201","2016 Coastal Chaos","Seeded Bracket","Rockland, Maine","2016-05-06","2016-05-08","","7822"
