id,name,shortName,abbreviation,teamType,location,website,parentLeague,establishedDate,disbandedDate,genus,domain
"3392","Detroit Roller Derby","Detroit","DRD","Travel Team","Detroit, MI","http://www.detroitderbygirls.com/","","","","Womens","USA"
"7999","Detroit Roller Derby Allstars B","","","B Team","","http://detroitderbygirls.com/mcdl/index.html","3392","","","Womens","USA"
"24164","Deviants","","","Home Team","","http://www.sjderbygirls.com/#!Derby Deviants/c17ej","24158","","2012-02-01","Womens","USA"
"16732","Devil Dog Derby Dames","","","B Team","","http://www.devildogderbydames.com/","8126","","","Womens","Pacific"
"76768","Devil Dog Derby Dames Home Team","","","B Team","","","16732","2016-03-01","","Womens","Pacific"
"9006","Devil Dollies","","","Home Team","","http://www.qcrg.net/people/devil-dollies/","3641","","","Womens","USA"
"25261","Devil State Derby League","Devil State","DSDL","Travel Team","Launceston, TAS, Australia","https://www.facebook.com/DevilStateDerbyLeague/info","","2012-01-01","","Womens","Australia"
"17049","Devil's Club","","","Home Team","","","4291","","2013-12-10","Womens","USA"
"9493","Devil's Darlings","","","Home Team","","","5920","","2009-12-31","Womens","USA"
"8814","Devil's Night Dames","","","Home Team","","http://detroitderbygirls.com/devilsnightdames/index.html","3392","","","Womens","USA"
"23494","Devil's Rejects","","","Home Team","","","3432","","2009-12-31","Womens","USA"
"55815","Devilish Molotovers Derby League","Molotovers","DMDL","Travel Team","Santa Maria, Rio Grande do Sul, Brazil","http://www.facebook.com/devilishmolotovers","","2012-08-06","","Womens","South America"
"63292","Devils Club Coed Derby","","","Exhibition Team","","","","","","Coed","USA"
"37046","Devon Clotted Screamers","Clotted Screamers","DCS","Travel Team","Barnstaple, UK","http://devonclottedscreamersrollerderby.blogspot.co.uk/","","2012-01-01","2016-02-01","Womens","Europe"
"24523","Devotchkas","","","Home Team","","","24520","","2015-06-09","Womens","Australia"
"78678","DHR Men's Roller Derby","DHR","DHRD","Travel Team","Kiel, Germany","http://rollerderbykiel.net/","","2015-01-01","","Mens","Europe"
"28446","Diablitos","","","Home Team","","","28445","","2014-03-08","Womens","South America"
"8990","Diamond City","Diamond City","DCSQ","Travel Team","Washington, NJ","http://www.myspace.com/dicityscreamqueens","","2007-01-01","2008-12-31","Womens","USA"
"91380","Diamond City Mayhem","","","Home Team","","","13368","","","Womens","USA"
"39982","Diamond City Minors","Diamond City Minors","DCM","Travel Team","Bakersfield, CA","https://www.facebook.com/DiamondCityMinors/info","","2012-01-01","","Junior","USA"
"68797","Diamond City Roller Derby","Diamond City","DCRD","Travel Team","Yellowknife, NWT, Canada","https://www.facebook.com/diamondcityderby/info?tab=page_info","","2012-06-12","","Womens","Canada"
"66708","Diamond District","","","B Team","","","3413","2015-06-01","","Womens","USA"
"22520","Diamond Dolls","","","Home Team","","","3468","","2013-01-01","Womens","USA"
"12608","Diamond Roughcuts","","","B Team","","","12607","","","Womens","USA"
"8044","Diamond State Roller Derby","Diamond State","DSRD","Travel Team","Wilmington, DE","https://diamondstaterollerderby.com/","","2007-01-01","","Womens","USA"
"29513","Diamond Valley Roller Derby Club","Diamond Valley","DVRDC","Travel Team","Eltham, VIC, Australia","http://www.dvrdc.org.au/","","2011-01-01","","Womens","Australia"
"27341","Diamondback Dolls","","","B Team","","","18705","","2015-05-01","Womens","USA"
